user_id,discount_id,event_type,event_time,interaction_weight,source_table,location_id,role_id
1535,17,SHOW_AT_LOCATION,2025-01-16 15:18:53.386,0.1,discount_button_click_statistics,16.0,3.0
9,522,SHOW_AT_LOCATION,2025-01-16 15:39:03.441,0.1,discount_button_click_statistics,16.0,3.0
1455,5,SHOW_AT_LOCATION,2025-01-16 17:59:54.167,0.1,discount_button_click_statistics,16.0,3.0
1455,2,SHOW_AT_LOCATION,2025-01-16 18:00:05.394,0.1,discount_button_click_statistics,16.0,3.0
1418,11,SHOW_AT_LOCATION,2025-01-16 19:02:26.925,0.1,discount_button_click_statistics,16.0,3.0
173,242,SHOW_AT_LOCATION,2025-01-17 06:57:34.489,0.1,discount_button_click_statistics,16.0,3.0
1320,565,GET_A_PROMOCODE,2025-01-17 07:10:19.294,2.0,discount_button_click_statistics,16.0,3.0
1320,565,GET_A_PROMOCODE,2025-01-17 07:10:21.645,2.0,discount_button_click_statistics,16.0,3.0
112,555,GET_A_PROMOCODE,2025-01-17 08:47:55.918,2.0,discount_button_click_statistics,16.0,3.0
112,303,SHOW_AT_LOCATION,2025-01-17 08:48:30.552,0.1,discount_button_click_statistics,16.0,3.0
868,569,SHOW_AT_LOCATION,2025-01-17 10:51:59.559,0.1,discount_button_click_statistics,16.0,3.0
868,2,SHOW_AT_LOCATION,2025-01-17 10:53:59.213,0.1,discount_button_click_statistics,16.0,3.0
1421,5,SHOW_AT_LOCATION,2025-01-17 14:02:13.849,0.1,discount_button_click_statistics,16.0,3.0
1421,17,SHOW_AT_LOCATION,2025-01-17 14:02:23.709,0.1,discount_button_click_statistics,16.0,3.0
1421,17,SHOW_AT_LOCATION,2025-01-17 14:02:27.616,0.1,discount_button_click_statistics,16.0,3.0
120,373,SHOW_AT_LOCATION,2025-01-17 15:10:29.785,0.1,discount_button_click_statistics,16.0,3.0
120,372,SHOW_AT_LOCATION,2025-01-17 15:10:39.506,0.1,discount_button_click_statistics,16.0,3.0
120,543,SHOW_AT_LOCATION,2025-01-17 15:10:50.490,0.1,discount_button_click_statistics,16.0,3.0
830,243,SHOW_AT_LOCATION,2025-01-18 12:36:52.764,0.1,discount_button_click_statistics,16.0,3.0
1484,540,GET_A_PROMOCODE,2025-01-18 12:49:36.796,2.0,discount_button_click_statistics,16.0,3.0
80,2,SHOW_AT_LOCATION,2025-01-19 07:36:31.110,0.1,discount_button_click_statistics,16.0,3.0
80,2,SHOW_AT_LOCATION,2025-01-19 07:37:07.123,0.1,discount_button_click_statistics,16.0,3.0
425,4,SHOW_AT_LOCATION,2025-01-19 07:46:18.929,0.1,discount_button_click_statistics,16.0,3.0
1366,11,SHOW_AT_LOCATION,2025-01-19 08:39:32.512,0.1,discount_button_click_statistics,16.0,3.0
1366,11,SHOW_AT_LOCATION,2025-01-19 08:39:47.903,0.1,discount_button_click_statistics,16.0,3.0
1366,569,SHOW_AT_LOCATION,2025-01-19 09:35:09.907,0.1,discount_button_click_statistics,16.0,3.0
1366,17,SHOW_AT_LOCATION,2025-01-19 09:36:00.293,0.1,discount_button_click_statistics,16.0,3.0
1366,17,SHOW_AT_LOCATION,2025-01-19 09:36:08.620,0.1,discount_button_click_statistics,16.0,3.0
1366,5,SHOW_AT_LOCATION,2025-01-19 09:37:45.926,0.1,discount_button_click_statistics,16.0,3.0
